연월,지역,차종,연료,count
2016-01,강원,승용,CNG,521.0
2016-01,강원,승용,LNG,0.0
2016-01,강원,승용,LPG,61344.0
2016-01,강원,승용,경유,155657.0
2016-01,강원,승용,기타연료,2.0
2016-01,강원,승용,등유,1.0
2016-01,강원,승용,수소,0.0
2016-01,강원,승용,알코올,0.0
2016-01,강원,승용,전기,80.0
2016-01,강원,승용,태양열,0.0
2016-01,강원,승용,하이브리드,5177.0
2016-01,강원,승용,휘발유,294996.0
2016-01,강원,승합,CNG,425.0
2016-01,강원,승합,LNG,0.0
2016-01,강원,승합,LPG,3730.0
2016-01,강원,승합,경유,27739.0
2016-01,강원,승합,기타연료,170.0
2016-01,강원,승합,등유,0.0
2016-01,강원,승합,수소,0.0
2016-01,강원,승합,알코올,0.0
2016-01,강원,승합,전기,1.0
2016-01,강원,승합,태양열,0.0
2016-01,강원,승합,하이브리드,0.0
2016-01,강원,승합,휘발유,127.0
2016-01,강원,특수,CNG,0.0
2016-01,강원,특수,LNG,0.0
2016-01,강원,특수,LPG,14.0
2016-01,강원,특수,경유,2146.0
2016-01,강원,특수,기타연료,48.0
2016-01,강원,특수,등유,0.0
2016-01,강원,특수,수소,0.0
2016-01,강원,특수,알코올,0.0
2016-01,강원,특수,전기,0.0
2016-01,강원,특수,태양열,0.0
2016-01,강원,특수,하이브리드,0.0
2016-01,강원,특수,휘발유,0.0
2016-01,강원,화물,CNG,32.0
2016-01,강원,화물,LNG,0.0
2016-01,강원,화물,LPG,4327.0
2016-01,강원,화물,경유,138899.0
2016-01,강원,화물,기타연료,1464.0
2016-01,강원,화물,등유,0.0
2016-01,강원,화물,수소,0.0
2016-01,강원,화물,알코올,0.0
2016-01,강원,화물,전기,0.0
2016-01,강원,화물,태양열,0.0
2016-01,강원,화물,하이브리드,0.0
2016-01,강원,화물,휘발유,351.0
2016-01,경기,승용,CNG,1562.0
2016-01,경기,승용,LNG,0.0
2016-01,경기,승용,LPG,379627.0
2016-01,경기,승용,경유,1164718.0
2016-01,경기,승용,기타연료,120.0
2016-01,경기,승용,등유,0.0
2016-01,경기,승용,수소,1.0
2016-01,경기,승용,알코올,0.0
2016-01,경기,승용,전기,314.0
2016-01,경기,승용,태양열,0.0
2016-01,경기,승용,하이브리드,43949.0
2016-01,경기,승용,휘발유,2363267.0
2016-01,경기,승합,CNG,7635.0
2016-01,경기,승합,LNG,0.0
2016-01,경기,승합,LPG,33872.0
2016-01,경기,승합,경유,191696.0
2016-01,경기,승합,기타연료,1639.0
2016-01,경기,승합,등유,0.0
2016-01,경기,승합,수소,0.0
2016-01,경기,승합,알코올,0.0
2016-01,경기,승합,전기,4.0
2016-01,경기,승합,태양열,0.0
2016-01,경기,승합,하이브리드,31.0
2016-01,경기,승합,휘발유,1116.0
2016-01,경기,특수,CNG,0.0
2016-01,경기,특수,LNG,0.0
2016-01,경기,특수,LPG,60.0
2016-01,경기,특수,경유,12644.0
2016-01,경기,특수,기타연료,270.0
2016-01,경기,특수,등유,0.0
2016-01,경기,특수,수소,0.0
2016-01,경기,특수,알코올,0.0
2016-01,경기,특수,전기,0.0
2016-01,경기,특수,태양열,0.0
2016-01,경기,특수,하이브리드,0.0
2016-01,경기,특수,휘발유,6.0
2016-01,경기,화물,CNG,105.0
2016-01,경기,화물,LNG,0.0
2016-01,경기,화물,LPG,47503.0
2016-01,경기,화물,경유,680207.0
2016-01,경기,화물,기타연료,11636.0
2016-01,경기,화물,등유,0.0
2016-01,경기,화물,수소,0.0
2016-01,경기,화물,알코올,0.0
2016-01,경기,화물,전기,0.0
2016-01,경기,화물,태양열,0.0
2016-01,경기,화물,하이브리드,0.0
2016-01,경기,화물,휘발유,1900.0
2016-01,경남,승용,CNG,474.0
2016-01,경남,승용,LNG,0.0
2016-01,경남,승용,LPG,136340.0
2016-01,경남,승용,경유,333102.0
2016-01,경남,승용,기타연료,13.0
2016-01,경남,승용,등유,1.0
2016-01,경남,승용,수소,0.0
2016-01,경남,승용,알코올,0.0
2016-01,경남,승용,전기,415.0
2016-01,경남,승용,태양열,0.0
2016-01,경남,승용,하이브리드,11527.0
2016-01,경남,승용,휘발유,740693.0
2016-01,경남,승합,CNG,1307.0
2016-01,경남,승합,LNG,0.0
2016-01,경남,승합,LPG,8426.0
2016-01,경남,승합,경유,51369.0
2016-01,경남,승합,기타연료,280.0
2016-01,경남,승합,등유,0.0
2016-01,경남,승합,수소,0.0
2016-01,경남,승합,알코올,0.0
2016-01,경남,승합,전기,0.0
2016-01,경남,승합,태양열,0.0
2016-01,경남,승합,하이브리드,1.0
2016-01,경남,승합,휘발유,281.0
2016-01,경남,특수,CNG,0.0
2016-01,경남,특수,LNG,0.0
2016-01,경남,특수,LPG,16.0
2016-01,경남,특수,경유,6426.0
2016-01,경남,특수,기타연료,72.0
2016-01,경남,특수,등유,0.0
2016-01,경남,특수,수소,0.0
2016-01,경남,특수,알코올,0.0
2016-01,경남,특수,전기,0.0
2016-01,경남,특수,태양열,0.0
2016-01,경남,특수,하이브리드,0.0
2016-01,경남,특수,휘발유,2.0
2016-01,경남,화물,CNG,139.0
2016-01,경남,화물,LNG,0.0
2016-01,경남,화물,LPG,7997.0
2016-01,경남,화물,경유,267136.0
2016-01,경남,화물,기타연료,5153.0
2016-01,경남,화물,등유,1.0
2016-01,경남,화물,수소,0.0
2016-01,경남,화물,알코올,0.0
2016-01,경남,화물,전기,11.0
2016-01,경남,화물,태양열,0.0
2016-01,경남,화물,하이브리드,0.0
2016-01,경남,화물,휘발유,782.0
2016-01,경북,승용,CNG,335.0
2016-01,경북,승용,LNG,0.0
2016-01,경북,승용,LPG,124539.0
2016-01,경북,승용,경유,248346.0
2016-01,경북,승용,기타연료,43.0
2016-01,경북,승용,등유,0.0
2016-01,경북,승용,수소,0.0
2016-01,경북,승용,알코올,0.0
2016-01,경북,승용,전기,147.0
2016-01,경북,승용,태양열,0.0
2016-01,경북,승용,하이브리드,8161.0
2016-01,경북,승용,휘발유,570585.0
2016-01,경북,승합,CNG,803.0
2016-01,경북,승합,LNG,1.0
2016-01,경북,승합,LPG,7173.0
2016-01,경북,승합,경유,45261.0
2016-01,경북,승합,기타연료,255.0
2016-01,경북,승합,등유,0.0
2016-01,경북,승합,수소,0.0
2016-01,경북,승합,알코올,0.0
2016-01,경북,승합,전기,4.0
2016-01,경북,승합,태양열,0.0
2016-01,경북,승합,하이브리드,5.0
2016-01,경북,승합,휘발유,266.0
2016-01,경북,특수,CNG,0.0
2016-01,경북,특수,LNG,0.0
2016-01,경북,특수,LPG,35.0
2016-01,경북,특수,경유,6199.0
2016-01,경북,특수,기타연료,67.0
2016-01,경북,특수,등유,0.0
2016-01,경북,특수,수소,0.0
2016-01,경북,특수,알코올,0.0
2016-01,경북,특수,전기,0.0
2016-01,경북,특수,태양열,0.0
2016-01,경북,특수,하이브리드,0.0
2016-01,경북,특수,휘발유,1.0
2016-01,경북,화물,CNG,71.0
2016-01,경북,화물,LNG,0.0
2016-01,경북,화물,LPG,6799.0
2016-01,경북,화물,경유,287629.0
2016-01,경북,화물,기타연료,6099.0
2016-01,경북,화물,등유,0.0
2016-01,경북,화물,수소,0.0
2016-01,경북,화물,알코올,0.0
2016-01,경북,화물,전기,0.0
2016-01,경북,화물,태양열,0.0
2016-01,경북,화물,하이브리드,0.0
2016-01,경북,화물,휘발유,854.0
2016-01,광주,승용,CNG,404.0
2016-01,광주,승용,LNG,0.0
2016-01,광주,승용,LPG,84666.0
2016-01,광주,승용,경유,133315.0
2016-01,광주,승용,기타연료,16.0
2016-01,광주,승용,등유,0.0
2016-01,광주,승용,수소,8.0
2016-01,광주,승용,알코올,0.0
2016-01,광주,승용,전기,192.0
2016-01,광주,승용,태양열,0.0
2016-01,광주,승용,하이브리드,5186.0
2016-01,광주,승용,휘발유,274225.0
2016-01,광주,승합,CNG,1110.0
2016-01,광주,승합,LNG,0.0
2016-01,광주,승합,LPG,4096.0
2016-01,광주,승합,경유,18244.0
2016-01,광주,승합,기타연료,201.0
2016-01,광주,승합,등유,0.0
2016-01,광주,승합,수소,0.0
2016-01,광주,승합,알코올,0.0
2016-01,광주,승합,전기,0.0
2016-01,광주,승합,태양열,0.0
2016-01,광주,승합,하이브리드,6.0
2016-01,광주,승합,휘발유,112.0
2016-01,광주,특수,CNG,0.0
2016-01,광주,특수,LNG,0.0
2016-01,광주,특수,LPG,8.0
2016-01,광주,특수,경유,2054.0
2016-01,광주,특수,기타연료,33.0
2016-01,광주,특수,등유,0.0
2016-01,광주,특수,수소,0.0
2016-01,광주,특수,알코올,0.0
2016-01,광주,특수,전기,0.0
2016-01,광주,특수,태양열,0.0
2016-01,광주,특수,하이브리드,0.0
2016-01,광주,특수,휘발유,0.0
2016-01,광주,화물,CNG,9.0
2016-01,광주,화물,LNG,0.0
2016-01,광주,화물,LPG,3746.0
2016-01,광주,화물,경유,83750.0
2016-01,광주,화물,기타연료,1973.0
2016-01,광주,화물,등유,0.0
2016-01,광주,화물,수소,0.0
2016-01,광주,화물,알코올,0.0
2016-01,광주,화물,전기,0.0
2016-01,광주,화물,태양열,0.0
2016-01,광주,화물,하이브리드,0.0
2016-01,광주,화물,휘발유,198.0
2016-01,대구,승용,CNG,1012.0
2016-01,대구,승용,LNG,0.0
2016-01,대구,승용,LPG,117542.0
2016-01,대구,승용,경유,236464.0
2016-01,대구,승용,기타연료,71.0
2016-01,대구,승용,등유,0.0
2016-01,대구,승용,수소,0.0
2016-01,대구,승용,알코올,0.0
2016-01,대구,승용,전기,131.0
2016-01,대구,승용,태양열,0.0
2016-01,대구,승용,하이브리드,10898.0
2016-01,대구,승용,휘발유,539123.0
2016-01,대구,승합,CNG,1731.0
2016-01,대구,승합,LNG,0.0
2016-01,대구,승합,LPG,6591.0
2016-01,대구,승합,경유,28499.0
2016-01,대구,승합,기타연료,239.0
2016-01,대구,승합,등유,0.0
2016-01,대구,승합,수소,0.0
2016-01,대구,승합,알코올,0.0
2016-01,대구,승합,전기,0.0
2016-01,대구,승합,태양열,0.0
2016-01,대구,승합,하이브리드,1.0
2016-01,대구,승합,휘발유,281.0
2016-01,대구,특수,CNG,0.0
2016-01,대구,특수,LNG,0.0
2016-01,대구,특수,LPG,13.0
2016-01,대구,특수,경유,2311.0
2016-01,대구,특수,기타연료,30.0
2016-01,대구,특수,등유,0.0
2016-01,대구,특수,수소,0.0
2016-01,대구,특수,알코올,0.0
2016-01,대구,특수,전기,0.0
2016-01,대구,특수,태양열,0.0
2016-01,대구,특수,하이브리드,0.0
2016-01,대구,특수,휘발유,0.0
2016-01,대구,화물,CNG,102.0
2016-01,대구,화물,LNG,0.0
2016-01,대구,화물,LPG,6743.0
2016-01,대구,화물,경유,154586.0
2016-01,대구,화물,기타연료,1594.0
2016-01,대구,화물,등유,0.0
2016-01,대구,화물,수소,0.0
2016-01,대구,화물,알코올,0.0
2016-01,대구,화물,전기,0.0
2016-01,대구,화물,태양열,0.0
2016-01,대구,화물,하이브리드,0.0
2016-01,대구,화물,휘발유,493.0
2016-01,대전,승용,CNG,488.0
2016-01,대전,승용,LNG,0.0
2016-01,대전,승용,LPG,70689.0
2016-01,대전,승용,경유,134024.0
2016-01,대전,승용,기타연료,1.0
2016-01,대전,승용,등유,0.0
2016-01,대전,승용,수소,0.0
2016-01,대전,승용,알코올,0.0
2016-01,대전,승용,전기,26.0
2016-01,대전,승용,태양열,0.0
2016-01,대전,승용,하이브리드,4767.0
2016-01,대전,승용,휘발유,311923.0
2016-01,대전,승합,CNG,1193.0
2016-01,대전,승합,LNG,2.0
2016-01,대전,승합,LPG,3949.0
2016-01,대전,승합,경유,19232.0
2016-01,대전,승합,기타연료,155.0
2016-01,대전,승합,등유,0.0
2016-01,대전,승합,수소,0.0
2016-01,대전,승합,알코올,0.0
2016-01,대전,승합,전기,2.0
2016-01,대전,승합,태양열,0.0
2016-01,대전,승합,하이브리드,1.0
2016-01,대전,승합,휘발유,137.0
2016-01,대전,특수,CNG,0.0
2016-01,대전,특수,LNG,0.0
2016-01,대전,특수,LPG,1.0
2016-01,대전,특수,경유,1886.0
2016-01,대전,특수,기타연료,28.0
2016-01,대전,특수,등유,0.0
2016-01,대전,특수,수소,0.0
2016-01,대전,특수,알코올,0.0
2016-01,대전,특수,전기,0.0
2016-01,대전,특수,태양열,0.0
2016-01,대전,특수,하이브리드,0.0
2016-01,대전,특수,휘발유,2.0
2016-01,대전,화물,CNG,42.0
2016-01,대전,화물,LNG,0.0
2016-01,대전,화물,LPG,3068.0
2016-01,대전,화물,경유,80841.0
2016-01,대전,화물,기타연료,1744.0
2016-01,대전,화물,등유,0.0
2016-01,대전,화물,수소,0.0
2016-01,대전,화물,알코올,0.0
2016-01,대전,화물,전기,0.0
2016-01,대전,화물,태양열,0.0
2016-01,대전,화물,하이브리드,0.0
2016-01,대전,화물,휘발유,264.0
2016-01,부산,승용,CNG,465.0
2016-01,부산,승용,LNG,0.0
2016-01,부산,승용,LPG,118939.0
2016-01,부산,승용,경유,264991.0
2016-01,부산,승용,기타연료,49.0
2016-01,부산,승용,등유,0.0
2016-01,부산,승용,수소,0.0
2016-01,부산,승용,알코올,0.0
2016-01,부산,승용,전기,233.0
2016-01,부산,승용,태양열,0.0
2016-01,부산,승용,하이브리드,10818.0
2016-01,부산,승용,휘발유,611717.0
2016-01,부산,승합,CNG,2641.0
2016-01,부산,승합,LNG,0.0
2016-01,부산,승합,LPG,8590.0
2016-01,부산,승합,경유,39923.0
2016-01,부산,승합,기타연료,140.0
2016-01,부산,승합,등유,0.0
2016-01,부산,승합,수소,0.0
2016-01,부산,승합,알코올,0.0
2016-01,부산,승합,전기,0.0
2016-01,부산,승합,태양열,0.0
2016-01,부산,승합,하이브리드,3.0
2016-01,부산,승합,휘발유,301.0
2016-01,부산,특수,CNG,0.0
2016-01,부산,특수,LNG,0.0
2016-01,부산,특수,LPG,15.0
2016-01,부산,특수,경유,9360.0
2016-01,부산,특수,기타연료,24.0
2016-01,부산,특수,등유,0.0
2016-01,부산,특수,수소,0.0
2016-01,부산,특수,알코올,1.0
2016-01,부산,특수,전기,0.0
2016-01,부산,특수,태양열,0.0
2016-01,부산,특수,하이브리드,0.0
2016-01,부산,특수,휘발유,5.0
2016-01,부산,화물,CNG,61.0
2016-01,부산,화물,LNG,0.0
2016-01,부산,화물,LPG,6764.0
2016-01,부산,화물,경유,170902.0
2016-01,부산,화물,기타연료,13134.0
2016-01,부산,화물,등유,0.0
2016-01,부산,화물,수소,0.0
2016-01,부산,화물,알코올,0.0
2016-01,부산,화물,전기,0.0
2016-01,부산,화물,태양열,0.0
2016-01,부산,화물,하이브리드,0.0
2016-01,부산,화물,휘발유,436.0
2016-01,서울,승용,CNG,775.0
2016-01,서울,승용,LNG,0.0
2016-01,서울,승용,LPG,270934.0
2016-01,서울,승용,경유,658579.0
2016-01,서울,승용,기타연료,543.0
2016-01,서울,승용,등유,0.0
2016-01,서울,승용,수소,2.0
2016-01,서울,승용,알코올,0.0
2016-01,서울,승용,전기,1124.0
2016-01,서울,승용,태양열,2.0
2016-01,서울,승용,하이브리드,34644.0
2016-01,서울,승용,휘발유,1600703.0
2016-01,서울,승합,CNG,8746.0
2016-01,서울,승합,LNG,0.0
2016-01,서울,승합,LPG,27709.0
2016-01,서울,승합,경유,103120.0
2016-01,서울,승합,기타연료,652.0
2016-01,서울,승합,등유,0.0
2016-01,서울,승합,수소,0.0
2016-01,서울,승합,알코올,0.0
2016-01,서울,승합,전기,10.0
2016-01,서울,승합,태양열,0.0
2016-01,서울,승합,하이브리드,32.0
2016-01,서울,승합,휘발유,1289.0
2016-01,서울,특수,CNG,3.0
2016-01,서울,특수,LNG,0.0
2016-01,서울,특수,LPG,92.0
2016-01,서울,특수,경유,6606.0
2016-01,서울,특수,기타연료,76.0
2016-01,서울,특수,등유,0.0
2016-01,서울,특수,수소,0.0
2016-01,서울,특수,알코올,0.0
2016-01,서울,특수,전기,0.0
2016-01,서울,특수,태양열,0.0
2016-01,서울,특수,하이브리드,0.0
2016-01,서울,특수,휘발유,21.0
2016-01,서울,화물,CNG,472.0
2016-01,서울,화물,LNG,0.0
2016-01,서울,화물,LPG,38078.0
2016-01,서울,화물,경유,304305.0
2016-01,서울,화물,기타연료,3076.0
2016-01,서울,화물,등유,0.0
2016-01,서울,화물,수소,0.0
2016-01,서울,화물,알코올,0.0
2016-01,서울,화물,전기,2.0
2016-01,서울,화물,태양열,0.0
2016-01,서울,화물,하이브리드,0.0
2016-01,서울,화물,휘발유,1652.0
2016-01,세종,승용,CNG,36.0
2016-01,세종,승용,LNG,0.0
2016-01,세종,승용,LPG,8119.0
2016-01,세종,승용,경유,22975.0
2016-01,세종,승용,기타연료,1.0
2016-01,세종,승용,등유,0.0
2016-01,세종,승용,수소,0.0
2016-01,세종,승용,알코올,0.0
2016-01,세종,승용,전기,9.0
2016-01,세종,승용,태양열,0.0
2016-01,세종,승용,하이브리드,1087.0
2016-01,세종,승용,휘발유,46277.0
2016-01,세종,승합,CNG,5.0
2016-01,세종,승합,LNG,0.0
2016-01,세종,승합,LPG,396.0
2016-01,세종,승합,경유,3181.0
2016-01,세종,승합,기타연료,25.0
2016-01,세종,승합,등유,0.0
2016-01,세종,승합,수소,0.0
2016-01,세종,승합,알코올,0.0
2016-01,세종,승합,전기,1.0
2016-01,세종,승합,태양열,0.0
2016-01,세종,승합,하이브리드,29.0
2016-01,세종,승합,휘발유,12.0
2016-01,세종,특수,CNG,0.0
2016-01,세종,특수,LNG,0.0
2016-01,세종,특수,LPG,1.0
2016-01,세종,특수,경유,203.0
2016-01,세종,특수,기타연료,3.0
2016-01,세종,특수,등유,0.0
2016-01,세종,특수,수소,0.0
