연월,지역,성별,연령,count
2016-01,합계,남성,10대 이하,10999
2016-01,합계,남성,20대,270627
2016-01,합계,남성,30대,2327388
2016-01,합계,남성,40대,3917593
2016-01,합계,남성,50대,4062056
2016-01,합계,남성,60대,2394423
2016-01,합계,남성,70대,776774
2016-01,합계,남성,80대,118082
2016-01,합계,남성,90대 이상,10245
2016-01,합계,여성,10대 이하,5895
2016-01,합계,여성,20대,124614
2016-01,합계,여성,30대,824907
2016-01,합계,여성,40대,1307345
2016-01,합계,여성,50대,1327195
2016-01,합계,여성,60대,610126
2016-01,합계,여성,70대,161964
2016-01,합계,여성,80대,49996
2016-01,합계,여성,90대 이상,9396
2016-01,서울,남성,10대 이하,1537
2016-01,서울,남성,20대,29447
2016-01,서울,남성,30대,353820
2016-01,서울,남성,40대,546880
2016-01,서울,남성,50대,531735
2016-01,서울,남성,60대,359681
2016-01,서울,남성,70대,127699
2016-01,서울,남성,80대,18898
2016-01,서울,남성,90대 이상,2188
2016-01,서울,여성,10대 이하,804
2016-01,서울,여성,20대,14539
2016-01,서울,여성,30대,120451
2016-01,서울,여성,40대,182907
2016-01,서울,여성,50대,178207
2016-01,서울,여성,60대,99414
2016-01,서울,여성,70대,28439
2016-01,서울,여성,80대,6545
2016-01,서울,여성,90대 이상,1496
2016-01,부산,남성,10대 이하,578
2016-01,부산,남성,20대,15820
2016-01,부산,남성,30대,137305
2016-01,부산,남성,40대,207368
2016-01,부산,남성,50대,232105
2016-01,부산,남성,60대,159903
2016-01,부산,남성,70대,48801
2016-01,부산,남성,80대,6712
2016-01,부산,남성,90대 이상,575
2016-01,부산,여성,10대 이하,329
2016-01,부산,여성,20대,6667
2016-01,부산,여성,30대,47248
2016-01,부산,여성,40대,71690
2016-01,부산,여성,50대,78814
2016-01,부산,여성,60대,39628
2016-01,부산,여성,70대,9577
2016-01,부산,여성,80대,2531
2016-01,부산,여성,90대 이상,503
2016-01,대구,남성,10대 이하,632
2016-01,대구,남성,20대,13916
