연월,지역,성별,연령,count
2016-01,대구,남성,30대,111920
2016-01,대구,남성,40대,204420
2016-01,대구,남성,50대,221124
2016-01,대구,남성,60대,133039
2016-01,대구,남성,70대,41285
2016-01,대구,남성,80대,6338
2016-01,대구,남성,90대 이상,488
2016-01,대구,여성,10대 이하,320
2016-01,대구,여성,20대,5852
2016-01,대구,여성,30대,40393
2016-01,대구,여성,40대,70219
2016-01,대구,여성,50대,73843
2016-01,대구,여성,60대,34948
2016-01,대구,여성,70대,8667
2016-01,대구,여성,80대,2539
2016-01,대구,여성,90대 이상,433
2016-01,인천,남성,10대 이하,593
2016-01,인천,남성,20대,17158
2016-01,인천,남성,30대,138953
2016-01,인천,남성,40대,213187
2016-01,인천,남성,50대,221311
2016-01,인천,남성,60대,111324
2016-01,인천,남성,70대,31257
2016-01,인천,남성,80대,4129
2016-01,인천,남성,90대 이상,368
2016-01,인천,여성,10대 이하,304
2016-01,인천,여성,20대,7542
2016-01,인천,여성,30대,48687
2016-01,인천,여성,40대,73260
2016-01,인천,여성,50대,73960
2016-01,인천,여성,60대,29925
2016-01,인천,여성,70대,6571
2016-01,인천,여성,80대,1797
2016-01,인천,여성,90대 이상,374
2016-01,광주,남성,10대 이하,303
2016-01,광주,남성,20대,8711
2016-01,광주,남성,30대,71121
2016-01,광주,남성,40대,120460
2016-01,광주,남성,50대,114235
2016-01,광주,남성,60대,59633
2016-01,광주,남성,70대,20112
2016-01,광주,남성,80대,2955
2016-01,광주,남성,90대 이상,301
2016-01,광주,여성,10대 이하,171
2016-01,광주,여성,20대,4776
2016-01,광주,여성,30대,30035
2016-01,광주,여성,40대,44642
2016-01,광주,여성,50대,40384
2016-01,광주,여성,60대,16753
2016-01,광주,여성,70대,4621
2016-01,광주,여성,80대,1713
2016-01,광주,여성,90대 이상,434
2016-01,대전,남성,10대 이하,686
2016-01,대전,남성,20대,9245
2016-01,대전,남성,30대,73232
2016-01,대전,남성,40대,123831
2016-01,대전,남성,50대,124866
2016-01,대전,남성,60대,71230
2016-01,대전,남성,70대,20766
2016-01,대전,남성,80대,3253
2016-01,대전,남성,90대 이상,305
2016-01,대전,여성,10대 이하,358
2016-01,대전,여성,20대,4444
2016-01,대전,여성,30대,29330
2016-01,대전,여성,40대,44684
2016-01,대전,여성,50대,43365
2016-01,대전,여성,60대,18522
2016-01,대전,여성,70대,4802
2016-01,대전,여성,80대,1861
2016-01,대전,여성,90대 이상,393
2016-01,울산,남성,10대 이하,356
2016-01,울산,남성,20대,7508
2016-01,울산,남성,30대,64422
2016-01,울산,남성,40대,102968
2016-01,울산,남성,50대,126991
2016-01,울산,남성,60대,63196
2016-01,울산,남성,70대,14286
2016-01,울산,남성,80대,1566
2016-01,울산,남성,90대 이상,118
2016-01,울산,여성,10대 이하,176
2016-01,울산,여성,20대,3011
2016-01,울산,여성,30대,19859
2016-01,울산,여성,40대,31371
2016-01,울산,여성,50대,30494
2016-01,울산,여성,60대,12931
2016-01,울산,여성,70대,2704
2016-01,울산,여성,80대,878
2016-01,울산,여성,90대 이상,184
2016-01,세종,남성,10대 이하,42
2016-01,세종,남성,20대,1124
2016-01,세종,남성,30대,14205
2016-01,세종,남성,40대,22904
2016-01,세종,남성,50대,15920
2016-01,세종,남성,60대,9243
2016-01,세종,남성,70대,2686
2016-01,세종,남성,80대,423
2016-01,세종,남성,90대 이상,37
2016-01,세종,여성,10대 이하,29
2016-01,세종,여성,20대,646
2016-01,세종,여성,30대,5818
2016-01,세종,여성,40대,7321
2016-01,세종,여성,50대,5366
2016-01,세종,여성,60대,2356
2016-01,세종,여성,70대,582
2016-01,세종,여성,80대,230
2016-01,세종,여성,90대 이상,46
2016-01,경기,남성,10대 이하,2806
2016-01,경기,남성,20대,66343
2016-01,경기,남성,30대,602206
2016-01,경기,남성,40대,1026119
2016-01,경기,남성,50대,975871
2016-01,경기,남성,60대,483038
2016-01,경기,남성,70대,151721
2016-01,경기,남성,80대,24800
2016-01,경기,남성,90대 이상,1874
2016-01,경기,여성,10대 이하,1439
2016-01,경기,여성,20대,31029
2016-01,경기,여성,30대,207816
2016-01,경기,여성,40대,342627
2016-01,경기,여성,50대,326151
2016-01,경기,여성,60대,136536
2016-01,경기,여성,70대,36723
2016-01,경기,여성,80대,9750
2016-01,경기,여성,90대 이상,1653
2016-01,강원,남성,10대 이하,243
2016-01,강원,남성,20대,10308
2016-01,강원,남성,30대,66128
2016-01,강원,남성,40대,126839
2016-01,강원,남성,50대,145489
2016-01,강원,남성,60대,93653
2016-01,강원,남성,70대,36570
2016-01,강원,남성,80대,5700
2016-01,강원,남성,90대 이상,455
2016-01,강원,여성,10대 이하,143
2016-01,강원,여성,20대,4202
2016-01,강원,여성,30대,26379
2016-01,강원,여성,40대,44795
2016-01,강원,여성,50대,50383
2016-01,강원,여성,60대,24108
2016-01,강원,여성,70대,6468
2016-01,강원,여성,80대,1845
2016-01,강원,여성,90대 이상,276
2016-01,충북,남성,10대 이하,382
2016-01,충북,남성,20대,11086
2016-01,충북,남성,30대,78856
2016-01,충북,남성,40대,137060
2016-01,충북,남성,50대,153851
2016-01,충북,남성,60대,92258
2016-01,충북,남성,70대,29472
2016-01,충북,남성,80대,4495
2016-01,충북,남성,90대 이상,339
2016-01,충북,여성,10대 이하,250
2016-01,충북,여성,20대,5266
2016-01,충북,여성,30대,29348
2016-01,충북,여성,40대,45216
2016-01,충북,여성,50대,48720
2016-01,충북,여성,60대,21480
2016-01,충북,여성,70대,5440
2016-01,충북,여성,80대,1886
2016-01,충북,여성,90대 이상,300
2016-01,충남,남성,10대 이하,344
2016-01,충남,남성,20대,15739
2016-01,충남,남성,30대,119826
2016-01,충남,남성,40대,188964
2016-01,충남,남성,50대,194298
2016-01,충남,남성,60대,118731
2016-01,충남,남성,70대,39626
2016-01,충남,남성,80대,6609
2016-01,충남,남성,90대 이상,518
2016-01,충남,여성,10대 이하,215
2016-01,충남,여성,20대,7097
2016-01,충남,여성,30대,38548
2016-01,충남,여성,40대,57818
2016-01,충남,여성,50대,61494
2016-01,충남,여성,60대,27646
2016-01,충남,여성,70대,7150
2016-01,충남,여성,80대,2688
2016-01,충남,여성,90대 이상,429
2016-01,전북,남성,10대 이하,477
2016-01,전북,남성,20대,11255
2016-01,전북,남성,30대,81545
2016-01,전북,남성,40대,153501
2016-01,전북,남성,50대,166201
2016-01,전북,남성,60대,110651
2016-01,전북,남성,70대,40370
2016-01,전북,남성,80대,6813
2016-01,전북,남성,90대 이상,618
2016-01,전북,여성,10대 이하,282
2016-01,전북,여성,20대,5677
2016-01,전북,여성,30대,31693
2016-01,전북,여성,40대,52329
2016-01,전북,여성,50대,56077
2016-01,전북,여성,60대,27238
2016-01,전북,여성,70대,8696
2016-01,전북,여성,80대,3939
2016-01,전북,여성,90대 이상,802
2016-01,전남,남성,10대 이하,514
2016-01,전남,남성,20대,11173
2016-01,전남,남성,30대,81689
2016-01,전남,남성,40대,154211
2016-01,전남,남성,50대,180382
2016-01,전남,남성,60대,114614
2016-01,전남,남성,70대,41666
2016-01,전남,남성,80대,6214
2016-01,전남,남성,90대 이상,623
2016-01,전남,여성,10대 이하,292
2016-01,전남,여성,20대,5086
2016-01,전남,여성,30대,29714
2016-01,전남,여성,40대,47350
2016-01,전남,여성,50대,54226
2016-01,전남,여성,60대,24835
2016-01,전남,여성,70대,8702
2016-01,전남,여성,80대,3746
2016-01,전남,여성,90대 이상,698
2016-01,경북,남성,10대 이하,423
2016-01,경북,남성,20대,17553
2016-01,경북,남성,30대,131814
2016-01,경북,남성,40대,238325
2016-01,경북,남성,50대,283518
2016-01,경북,남성,60대,194230
2016-01,경북,남성,70대,62903
2016-01,경북,남성,80대,9265
2016-01,경북,남성,90대 이상,708
2016-01,경북,여성,10대 이하,222
2016-01,경북,여성,20대,7563
2016-01,경북,여성,30대,45422
2016-01,경북,여성,40대,72154
2016-01,경북,여성,50대,84079
2016-01,경북,여성,60대,40912
2016-01,경북,여성,70대,10095
2016-01,경북,여성,80대,3497
2016-01,경북,여성,90대 이상,589
2016-01,경남,남성,10대 이하,902
2016-01,경남,남성,20대,20448
2016-01,경남,남성,30대,171228
2016-01,경남,남성,40대,292110
2016-01,경남,남성,50대,316695
2016-01,경남,남성,60대,186150
2016-01,경남,남성,70대,53514
2016-01,경남,남성,80대,7585
2016-01,경남,남성,90대 이상,607
2016-01,경남,여성,10대 이하,469
2016-01,경남,여성,20대,9029
2016-01,경남,여성,30대,60027
2016-01,경남,여성,40대,94829
2016-01,경남,여성,50대,97864
2016-01,경남,여성,60대,41878
2016-01,경남,여성,70대,9937
2016-01,경남,여성,80대,3744
2016-01,경남,여성,90대 이상,611
2016-01,제주,남성,10대 이하,181
2016-01,제주,남성,20대,3793
2016-01,제주,남성,30대,29118
2016-01,제주,남성,40대,58446
2016-01,제주,남성,50대,57464
2016-01,제주,남성,60대,33849
2016-01,제주,남성,70대,14040
2016-01,제주,남성,80대,2327
2016-01,제주,남성,90대 이상,123
2016-01,제주,여성,10대 이하,92
2016-01,제주,여성,20대,2188
2016-01,제주,여성,30대,14139
2016-01,제주,여성,40대,24133
2016-01,제주,여성,50대,23769
2016-01,제주,여성,60대,11016
2016-01,제주,여성,70대,2790
2016-01,제주,여성,80대,807
2016-01,제주,여성,90대 이상,175
2016-02,합계,남성,10대 이하,11030
2016-02,합계,남성,20대,279786
2016-02,합계,남성,30대,2343442
2016-02,합계,남성,40대,3922639
2016-02,합계,남성,50대,4067016
2016-02,합계,남성,60대,2391893
2016-02,합계,남성,70대,773673
2016-02,합계,남성,80대,117004
2016-02,합계,남성,90대 이상,10171
2016-02,합계,여성,10대 이하,5908
2016-02,합계,여성,20대,128639
2016-02,합계,여성,30대,831449
2016-02,합계,여성,40대,1311778
2016-02,합계,여성,50대,1329956
2016-02,합계,여성,60대,609302
2016-02,합계,여성,70대,161204
2016-02,합계,여성,80대,49587
2016-02,합계,여성,90대 이상,9303
2016-02,서울,남성,10대 이하,1539
2016-02,서울,남성,20대,30445
2016-02,서울,남성,30대,355783
2016-02,서울,남성,40대,546497
2016-02,서울,남성,50대,531428
2016-02,서울,남성,60대,358774
2016-02,서울,남성,70대,126979
2016-02,서울,남성,80대,18709
2016-02,서울,남성,90대 이상,2212
2016-02,서울,여성,10대 이하,808
2016-02,서울,여성,20대,14988
2016-02,서울,여성,30대,121158
2016-02,서울,여성,40대,183160
2016-02,서울,여성,50대,178280
2016-02,서울,여성,60대,99078
2016-02,서울,여성,70대,28282
2016-02,서울,여성,80대,6485
2016-02,서울,여성,90대 이상,1473
2016-02,부산,남성,10대 이하,581
2016-02,부산,남성,20대,16370
2016-02,부산,남성,30대,138294
2016-02,부산,남성,40대,207637
2016-02,부산,남성,50대,232231
2016-02,부산,남성,60대,159643
2016-02,부산,남성,70대,48559
2016-02,부산,남성,80대,6652
2016-02,부산,남성,90대 이상,570
2016-02,부산,여성,10대 이하,328
2016-02,부산,여성,20대,6867
2016-02,부산,여성,30대,47708
2016-02,부산,여성,40대,71987
2016-02,부산,여성,50대,78913
2016-02,부산,여성,60대,39502
2016-02,부산,여성,70대,9522
2016-02,부산,여성,80대,2502
2016-02,부산,여성,90대 이상,502
2016-02,대구,남성,10대 이하,625
2016-02,대구,남성,20대,14361
2016-02,대구,남성,30대,112470
2016-02,대구,남성,40대,204265
2016-02,대구,남성,50대,221230
2016-02,대구,남성,60대,132744
2016-02,대구,남성,70대,41108
2016-02,대구,남성,80대,6276
2016-02,대구,남성,90대 이상,481
2016-02,대구,여성,10대 이하,319
2016-02,대구,여성,20대,6030
2016-02,대구,여성,30대,40677
2016-02,대구,여성,40대,70447
2016-02,대구,여성,50대,73996
2016-02,대구,여성,60대,34886
2016-02,대구,여성,70대,8589
2016-02,대구,여성,80대,2503
2016-02,대구,여성,90대 이상,424
2016-02,인천,남성,10대 이하,602
2016-02,인천,남성,20대,17811
2016-02,인천,남성,30대,139703
2016-02,인천,남성,40대,213177
2016-02,인천,남성,50대,221408
2016-02,인천,남성,60대,111111
2016-02,인천,남성,70대,31096
2016-02,인천,남성,80대,4101
2016-02,인천,남성,90대 이상,365
2016-02,인천,여성,10대 이하,309
2016-02,인천,여성,20대,7764
2016-02,인천,여성,30대,49005
2016-02,인천,여성,40대,73484
2016-02,인천,여성,50대,74104
2016-02,인천,여성,60대,29894
2016-02,인천,여성,70대,6544
2016-02,인천,여성,80대,1782
2016-02,인천,여성,90대 이상,370
2016-02,광주,남성,10대 이하,303
2016-02,광주,남성,20대,9005
2016-02,광주,남성,30대,71520
2016-02,광주,남성,40대,120645
2016-02,광주,남성,50대,114389
2016-02,광주,남성,60대,59520
2016-02,광주,남성,70대,20039
2016-02,광주,남성,80대,2921
2016-02,광주,남성,90대 이상,300
2016-02,광주,여성,10대 이하,173
2016-02,광주,여성,20대,4932
2016-02,광주,여성,30대,30253
2016-02,광주,여성,40대,44808
2016-02,광주,여성,50대,40487
2016-02,광주,여성,60대,16735
2016-02,광주,여성,70대,4595
2016-02,광주,여성,80대,1701
2016-02,광주,여성,90대 이상,430
2016-02,대전,남성,10대 이하,679
2016-02,대전,남성,20대,9616
2016-02,대전,남성,30대,73631
2016-02,대전,남성,40대,123873
2016-02,대전,남성,50대,124835
2016-02,대전,남성,60대,71027
2016-02,대전,남성,70대,20642
2016-02,대전,남성,80대,3212
2016-02,대전,남성,90대 이상,301
2016-02,대전,여성,10대 이하,359
2016-02,대전,여성,20대,4587
2016-02,대전,여성,30대,29484
2016-02,대전,여성,40대,44789
2016-02,대전,여성,50대,43387
2016-02,대전,여성,60대,18489
2016-02,대전,여성,70대,4756
2016-02,대전,여성,80대,1850
2016-02,대전,여성,90대 이상,389
2016-02,울산,남성,10대 이하,354
2016-02,울산,남성,20대,7806
2016-02,울산,남성,30대,64883
2016-02,울산,남성,40대,103126
2016-02,울산,남성,50대,127135
2016-02,울산,남성,60대,63076
2016-02,울산,남성,70대,14238
2016-02,울산,남성,80대,1548
2016-02,울산,남성,90대 이상,118
2016-02,울산,여성,10대 이하,176
2016-02,울산,여성,20대,3111
2016-02,울산,여성,30대,19958
2016-02,울산,여성,40대,31362
2016-02,울산,여성,50대,30555
2016-02,울산,여성,60대,12905
2016-02,울산,여성,70대,2687
2016-02,울산,여성,80대,867
2016-02,울산,여성,90대 이상,183
2016-02,세종,남성,10대 이하,44
2016-02,세종,남성,20대,1181
2016-02,세종,남성,30대,14583
2016-02,세종,남성,40대,23475
2016-02,세종,남성,50대,16188
2016-02,세종,남성,60대,9295
2016-02,세종,남성,70대,2681
2016-02,세종,남성,80대,417
2016-02,세종,남성,90대 이상,38
2016-02,세종,여성,10대 이하,28
2016-02,세종,여성,20대,683
2016-02,세종,여성,30대,6024
2016-02,세종,여성,40대,7541
2016-02,세종,여성,50대,5474
2016-02,세종,여성,60대,2391
2016-02,세종,여성,70대,588
2016-02,세종,여성,80대,228
2016-02,세종,여성,90대 이상,46
2016-02,경기,남성,10대 이하,2825
2016-02,경기,남성,20대,68726
2016-02,경기,남성,30대,607179
2016-02,경기,남성,40대,1027197
2016-02,경기,남성,50대,976214
2016-02,경기,남성,60대,482471
2016-02,경기,남성,70대,151212
2016-02,경기,남성,80대,24618
2016-02,경기,남성,90대 이상,1850
2016-02,경기,여성,10대 이하,1447
2016-02,경기,여성,20대,32080
2016-02,경기,여성,30대,209625
2016-02,경기,여성,40대,343963
2016-02,경기,여성,50대,326748
2016-02,경기,여성,60대,136502
2016-02,경기,여성,70대,36610
2016-02,경기,여성,80대,9674
2016-02,경기,여성,90대 이상,1643
2016-02,강원,남성,10대 이하,248
2016-02,강원,남성,20대,10621
2016-02,강원,남성,30대,66600
2016-02,강원,남성,40대,127133
2016-02,강원,남성,50대,145868
2016-02,강원,남성,60대,93666
2016-02,강원,남성,70대,36439
2016-02,강원,남성,80대,5658
2016-02,강원,남성,90대 이상,450
2016-02,강원,여성,10대 이하,146
2016-02,강원,여성,20대,4324
2016-02,강원,여성,30대,26558
2016-02,강원,여성,40대,44989
2016-02,강원,여성,50대,50513
2016-02,강원,여성,60대,24090
2016-02,강원,여성,70대,6450
2016-02,강원,여성,80대,1836
2016-02,강원,여성,90대 이상,271
2016-02,충북,남성,10대 이하,382
2016-02,충북,남성,20대,11451
2016-02,충북,남성,30대,79407
2016-02,충북,남성,40대,137158
2016-02,충북,남성,50대,154106
2016-02,충북,남성,60대,92271
2016-02,충북,남성,70대,29389
2016-02,충북,남성,80대,4455
2016-02,충북,남성,90대 이상,334
2016-02,충북,여성,10대 이하,247
2016-02,충북,여성,20대,5434
2016-02,충북,여성,30대,29524
2016-02,충북,여성,40대,45461
2016-02,충북,여성,50대,48917
2016-02,충북,여성,60대,21453
2016-02,충북,여성,70대,5418
2016-02,충북,여성,80대,1867
2016-02,충북,여성,90대 이상,300
2016-02,충남,남성,10대 이하,344
2016-02,충남,남성,20대,16272
2016-02,충남,남성,30대,120820
2016-02,충남,남성,40대,189500
2016-02,충남,남성,50대,194765
2016-02,충남,남성,60대,118851
2016-02,충남,남성,70대,39533
2016-02,충남,남성,80대,6565
2016-02,충남,남성,90대 이상,511
2016-02,충남,여성,10대 이하,220
2016-02,충남,여성,20대,7371
2016-02,충남,여성,30대,38916
2016-02,충남,여성,40대,57973
2016-02,충남,여성,50대,61796
2016-02,충남,여성,60대,27641
2016-02,충남,여성,70대,7134
2016-02,충남,여성,80대,2683
2016-02,충남,여성,90대 이상,425
2016-02,전북,남성,10대 이하,482
2016-02,전북,남성,20대,11567
2016-02,전북,남성,30대,81962
2016-02,전북,남성,40대,153812
2016-02,전북,남성,50대,166649
2016-02,전북,남성,60대,110594
2016-02,전북,남성,70대,40254
2016-02,전북,남성,80대,6733
2016-02,전북,남성,90대 이상,611
2016-02,전북,여성,10대 이하,283
2016-02,전북,여성,20대,5851
2016-02,전북,여성,30대,31931
2016-02,전북,여성,40대,52477
2016-02,전북,여성,50대,56219
2016-02,전북,여성,60대,27165
2016-02,전북,여성,70대,8655
2016-02,전북,여성,80대,3916
2016-02,전북,여성,90대 이상,801
2016-02,전남,남성,10대 이하,513
2016-02,전남,남성,20대,11529
2016-02,전남,남성,30대,82260
2016-02,전남,남성,40대,154626
2016-02,전남,남성,50대,180922
2016-02,전남,남성,60대,114705
2016-02,전남,남성,70대,41534
2016-02,전남,남성,80대,6164
2016-02,전남,남성,90대 이상,614
2016-02,전남,여성,10대 이하,288
2016-02,전남,여성,20대,5223
2016-02,전남,여성,30대,29991
2016-02,전남,여성,40대,47485
2016-02,전남,여성,50대,54362
2016-02,전남,여성,60대,24853
2016-02,전남,여성,70대,8652
2016-02,전남,여성,80대,3723
2016-02,전남,여성,90대 이상,688
2016-02,경북,남성,10대 이하,422
2016-02,경북,남성,20대,18050
2016-02,경북,남성,30대,132646
2016-02,경북,남성,40대,239060
2016-02,경북,남성,50대,284579
2016-02,경북,남성,60대,194195
2016-02,경북,남성,70대,62708
2016-02,경북,남성,80대,9172
2016-02,경북,남성,90대 이상,698
2016-02,경북,여성,10대 이하,223
2016-02,경북,여성,20대,7795
2016-02,경북,여성,30대,45772
2016-02,경북,여성,40대,72428
2016-02,경북,여성,50대,84186
2016-02,경북,여성,60대,40883
2016-02,경북,여성,70대,10049
2016-02,경북,여성,80대,3466
2016-02,경북,여성,90대 이상,584
2016-02,경남,남성,10대 이하,905
2016-02,경남,남성,20대,21072
2016-02,경남,남성,30대,172217
2016-02,경남,남성,40대,292823
2016-02,경남,남성,50대,317323
2016-02,경남,남성,60대,186058
2016-02,경남,남성,70대,53247
2016-02,경남,남성,80대,7502
2016-02,경남,남성,90대 이상,598
2016-02,경남,여성,10대 이하,463
2016-02,경남,여성,20대,9326
2016-02,경남,여성,30대,60509
2016-02,경남,여성,40대,95150
2016-02,경남,여성,50대,98076
2016-02,경남,여성,60대,41833
2016-02,경남,여성,70대,9886
2016-02,경남,여성,80대,3704
2016-02,경남,여성,90대 이상,602
2016-02,제주,남성,10대 이하,182
2016-02,제주,남성,20대,3903
2016-02,제주,남성,30대,29484
2016-02,제주,남성,40대,58635
2016-02,제주,남성,50대,57746
2016-02,제주,남성,60대,33892
2016-02,제주,남성,70대,14015
2016-02,제주,남성,80대,2301
2016-02,제주,남성,90대 이상,120
2016-02,제주,여성,10대 이하,91
2016-02,제주,여성,20대,2273
2016-02,제주,여성,30대,14356
2016-02,제주,여성,40대,24274
2016-02,제주,여성,50대,23943
2016-02,제주,여성,60대,11002
2016-02,제주,여성,70대,2787
2016-02,제주,여성,80대,800
2016-02,제주,여성,90대 이상,172
2016-03,합계,남성,10대 이하,11043
2016-03,합계,남성,20대,290569
2016-03,합계,남성,30대,2365489
2016-03,합계,남성,40대,3933902
2016-03,합계,남성,50대,4074014
2016-03,합계,남성,60대,2389927
2016-03,합계,남성,70대,770063
2016-03,합계,남성,80대,115782
2016-03,합계,남성,90대 이상,10050
2016-03,합계,여성,10대 이하,5902
2016-03,합계,여성,20대,133451
2016-03,합계,여성,30대,839647
2016-03,합계,여성,40대,1317823
2016-03,합계,여성,50대,1333633
2016-03,합계,여성,60대,608871
2016-03,합계,여성,70대,160284
2016-03,합계,여성,80대,48998
2016-03,합계,여성,90대 이상,9146
2016-03,서울,남성,10대 이하,1546
2016-03,서울,남성,20대,31727
2016-03,서울,남성,30대,358180
2016-03,서울,남성,40대,546554
2016-03,서울,남성,50대,530872
2016-03,서울,남성,60대,357847
2016-03,서울,남성,70대,126087
2016-03,서울,남성,80대,18510
2016-03,서울,남성,90대 이상,2193
2016-03,서울,여성,10대 이하,797
2016-03,서울,여성,20대,15546
2016-03,서울,여성,30대,122043
2016-03,서울,여성,40대,183576
2016-03,서울,여성,50대,178301
2016-03,서울,여성,60대,98744
2016-03,서울,여성,70대,28092
2016-03,서울,여성,80대,6401
2016-03,서울,여성,90대 이상,1444
2016-03,부산,남성,10대 이하,587
2016-03,부산,남성,20대,16984
2016-03,부산,남성,30대,139431
2016-03,부산,남성,40대,208191
2016-03,부산,남성,50대,232414
2016-03,부산,남성,60대,159157
2016-03,부산,남성,70대,48272
2016-03,부산,남성,80대,6577
2016-03,부산,남성,90대 이상,563
2016-03,부산,여성,10대 이하,332
2016-03,부산,여성,20대,7093
2016-03,부산,여성,30대,48113
2016-03,부산,여성,40대,72351
2016-03,부산,여성,50대,79166
2016-03,부산,여성,60대,39419
2016-03,부산,여성,70대,9462
2016-03,부산,여성,80대,2489
2016-03,부산,여성,90대 이상,494
2016-03,대구,남성,10대 이하,623
2016-03,대구,남성,20대,14869
2016-03,대구,남성,30대,113550
2016-03,대구,남성,40대,204944
2016-03,대구,남성,50대,221544
2016-03,대구,남성,60대,132416
2016-03,대구,남성,70대,40904
2016-03,대구,남성,80대,6211
2016-03,대구,남성,90대 이상,475
2016-03,대구,여성,10대 이하,318
2016-03,대구,여성,20대,6290
2016-03,대구,여성,30대,40983
2016-03,대구,여성,40대,70833
2016-03,대구,여성,50대,74090
2016-03,대구,여성,60대,34779
2016-03,대구,여성,70대,8540
2016-03,대구,여성,80대,2448
2016-03,대구,여성,90대 이상,412
2016-03,인천,남성,10대 이하,599
2016-03,인천,남성,20대,18533
2016-03,인천,남성,30대,140957
2016-03,인천,남성,40대,213646
2016-03,인천,남성,50대,221317
2016-03,인천,남성,60대,110908
2016-03,인천,남성,70대,30896
2016-03,인천,남성,80대,4055
2016-03,인천,남성,90대 이상,359
2016-03,인천,여성,10대 이하,308
2016-03,인천,여성,20대,8056
2016-03,인천,여성,30대,49496
2016-03,인천,여성,40대,73896
2016-03,인천,여성,50대,74307
2016-03,인천,여성,60대,29836
2016-03,인천,여성,70대,6499
2016-03,인천,여성,80대,1761
2016-03,인천,여성,90대 이상,361
2016-03,광주,남성,10대 이하,302
2016-03,광주,남성,20대,9368
2016-03,광주,남성,30대,71958
2016-03,광주,남성,40대,120979
2016-03,광주,남성,50대,114552
2016-03,광주,남성,60대,59398
2016-03,광주,남성,70대,19897
2016-03,광주,남성,80대,2897
2016-03,광주,남성,90대 이상,292
2016-03,광주,여성,10대 이하,172
2016-03,광주,여성,20대,5134
2016-03,광주,여성,30대,30531
2016-03,광주,여성,40대,45001
2016-03,광주,여성,50대,40610
2016-03,광주,여성,60대,16673
2016-03,광주,여성,70대,4568
2016-03,광주,여성,80대,1675
2016-03,광주,여성,90대 이상,419
2016-03,대전,남성,10대 이하,676
2016-03,대전,남성,20대,9981
2016-03,대전,남성,30대,74309
2016-03,대전,남성,40대,124096
2016-03,대전,남성,50대,124885
2016-03,대전,남성,60대,70827
2016-03,대전,남성,70대,20532
2016-03,대전,남성,80대,3180
2016-03,대전,남성,90대 이상,295
2016-03,대전,여성,10대 이하,357
2016-03,대전,여성,20대,4738
2016-03,대전,여성,30대,29711
2016-03,대전,여성,40대,44966
2016-03,대전,여성,50대,43425
2016-03,대전,여성,60대,18482
2016-03,대전,여성,70대,4713
2016-03,대전,여성,80대,1821
2016-03,대전,여성,90대 이상,382
2016-03,울산,남성,10대 이하,354
2016-03,울산,남성,20대,8139
2016-03,울산,남성,30대,65470
2016-03,울산,남성,40대,103235
2016-03,울산,남성,50대,127255
2016-03,울산,남성,60대,62917
2016-03,울산,남성,70대,14149
2016-03,울산,남성,80대,1534
2016-03,울산,남성,90대 이상,116
2016-03,울산,여성,10대 이하,173
2016-03,울산,여성,20대,3237
2016-03,울산,여성,30대,20113
2016-03,울산,여성,40대,31510
2016-03,울산,여성,50대,30588
2016-03,울산,여성,60대,12853
2016-03,울산,여성,70대,2625
2016-03,울산,여성,80대,863
2016-03,울산,여성,90대 이상,177
2016-03,세종,남성,10대 이하,43
2016-03,세종,남성,20대,1258
2016-03,세종,남성,30대,15092
2016-03,세종,남성,40대,23902
2016-03,세종,남성,50대,16466
2016-03,세종,남성,60대,9349
