차종,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
승용차,2657266,1205326,1035150,1288584,603858,604964,514134,179830,5574365,672843,746168,994764,766101,780251,1172228,1522729,334459,20653020
승합일반 15인 이하,55207,23060,16970,24556,10867,10760,8036,2369,110861,15752,17086,23682,18988,21627,28412,29536,8303,426072
화물 픽업형,23090,13492,14410,19498,8773,9726,6121,2267,87540,25329,21191,28378,21426,23409,29968,28629,9427,372674
합계,2735563,1241878,1066530,1332638,623498,625450,528291,184466,5772766,713924,784445,1046824,806515,825287,1230608,1580894,352189,21451766
주차구획수,77227,37600,51149,54217,14364,39265,62770,8550,197950,61578,31334,53922,41572,61333,113068,62430,30697,999026
